Custom Criteria, Net Profit, Gross Profit, Gross Loss, Total Trades, % Profitable, Winning Trades, Losing Trades, Avg Trade, Avg Winning Trade, Avg Losing Trade, Win Loss Ratio, Max Consecutive Winners, Max Consecutive Losers, Avg Bars in Winner, Avg Bars in Loser, Max Intraday Drawdown, Profit Factor, Return on Account, Custom Fitness Value, input1, input2
0.371502229547082,94525, 292462.5, -197937.5,820, 21.8292682926829,179,640, 115.274390243902, 1633.8687150838, -309.27734375, 5.28285937557881,4,18, 8.06145251396648, 2.4359375,-12950, 1.4775497316072, 804.468085106383,0, 0.1,5
0.394961765711829,98950,293275,-194325,820, 22.0731707317073,181,638, 120.670731707317, 1620.30386740332, -304.584639498433, 5.31971628665028,4,18, 8.03867403314917, 2.43573667711599,-12600, 1.5091985076547, 853.01724137931,0, 0.1,10
0.366072224348042, 90687.5,284300, -193612.5,820, 21.4634146341463,176,643, 110.594512195122, 1615.34090909091, -301.108087091757, 5.36465468162156,4,18, 8.06818181818182, 2.43701399688958,-12400, 1.46839692685131, 789.445048966268,0, 0.1,15
0.367085628411079,90950, 284287.5, -193337.5,820, 21.5853658536585,177,642, 110.914634146341, 1606.14406779661, -301.148753894081, 5.33339104687618,4,18, 8.05084745762712, 2.42834890965732, -12387.5, 1.47042089610138, 794.323144104804,0, 0.1,20
0.359396348908544,95800,300550,-204750,820, 22.8048780487805,187,632, 116.829268292683, 1607.2192513369, -323.971518987342, 4.96098933745993,4,15, 8.06951871657754, 2.45886075949367, -11437.5, 1.46788766788767, 928.969696969697,0, 0.125,5
0.368985306331928, 95837.5,296625, -200787.5,820, 22.3170731707317,183,636, 116.875, 1620.90163934426, -315.703616352201, 5.13425109941082,4,18, 8.04371584699454, 2.45440251572327, -13187.5, 1.47730809935877, 799.478623566215,0, 0.125,10
0.377279508522814, 97387.5, 296637.5,-199250,820, 22.4390243902439,184,635, 118.765243902439, 1612.16032608696, -313.779527559055, 5.1378760705908,4,18, 8.02173913043478, 2.44566929133858, -12937.5, 1.48877038895859, 821.835443037975,0, 0.125,15
0.352761057094369, 90987.5, 290037.5,-199050,820, 22.4390243902439,184,635, 110.960365853659, 1576.29076086957, -313.464566929134, 5.02860905879012,4,18, 8.01630434782609, 2.45354330708661,-12900, 1.45710876664155, 771.080508474576,0, 0.125,20
0.328669295928722, 91237.5,303050, -211812.5,820, 23.2926829268293,191,628, 111.265243902439, 1586.64921465969, -337.281050955414, 4.70423467362069,4,15, 8.03141361256544, 2.5031847133758,-12300, 1.43074653290056, 798.577680525164,0, 0.15,5
0.344734942456939, 93187.5, 300137.5,-206950,820, 23.0487804878049,189,630, 113.643292682927, 1588.0291005291, -328.492063492063, 4.83429975034227,4,18, 8.05291005291005, 2.45714285714286,-13800, 1.45028992510268, 742.529880478088,0, 0.15,10
0.351083326406536, 94037.5, 299437.5,-205400,820, 22.9268292682927,188,631, 114.67987804878, 1592.75265957447, -325.515055467512, 4.89302301943276,4,18, 8.04255319148936, 2.45958795562599,-13475, 1.45782619279455, 769.222903885481,0, 0.15,15
0.343978732752274,91850,297250,-205400,820, 22.6829268292683,186,633, 112.012195121951, 1598.11827956989, -324.486571879937, 4.92506753148852,4,18, 8.05913978494624, 2.4565560821485, -13462.5, 1.44717624148004, 752.098259979529,0, 0.15,20
0.313248213175343,90600, 308787.5, -218187.5,820, 24.1463414634146,198,621, 110.487804878049, 1559.53282828283, -351.348631239936, 4.43870472123122,4,13, 8.02525252525253, 2.54428341384863,-12900, 1.41523918647952, 777.682403433476,0, 0.175,5
0.330146608337076,92825, 305312.5, -212487.5,820, 24.0243902439024,197,622, 113.201219512195, 1549.80964467005, -341.619774919614, 4.53665085703757,4,15, 8.09137055837564, 2.46302250803859,-12550, 1.43684922642508, 795.074946466809,0, 0.175,10
0.32709126751051,91000, 302262.5, -211262.5,820, 23.6585365853659,194,625, 110.975609756098, 1558.05412371134, -338.02, 4.60935484205473,4,18, 8.07216494845361, 2.4784, -14037.5, 1.43074374297379, 711.632453567937,0, 0.175,15
0.32738443175307,90925, 302162.5, -211237.5,820, 23.5365853658537,193,626, 110.884146341463, 1565.60880829016, -337.440095846645, 4.63966442506486,4,15, 8.05181347150259, 2.48083067092652, -13112.5, 1.43043967098645, 766.491043203372,0, 0.175,20
0.313186270025383, 94837.5,318125, -223287.5,820, 25.8536585365854,212,607, 115.655487804878, 1500.58962264151, -367.854200988468, 4.07930538406044,4,13, 8.09433962264151, 2.54530477759473,-12625, 1.42473268767844, 833.736263736264,0, 0.2,5
0.311895617125089,91200,309650,-218450,820, 24.8780487804878,204,615, 111.219512195122, 1517.89215686275, -355.20325203252, 4.27330591197339,4,15, 8.08823529411765, 2.48617886178862, -11787.5, 1.41748683909361, 846.403712296984,0, 0.2,10
0.313575157257878,90675, 307762.5, -217087.5,820, 24.5121951219512,201,618, 110.579268292683, 1531.15671641791, -351.27427184466, 4.35886382562915,4,15, 8.07462686567164, 2.49838187702265, -12087.5, 1.41768871998618, 818.735891647856,0, 0.2,15
0.314045406621214,90575,307450,-216875,820, 24.390243902439,200,619, 110.457317073171, 1537.25, -350.363489499192, 4.38758616714697,4,15, 8.055, 2.50403877221325,-12575, 1.41763688760807, 783.351351351351,0, 0.2,20
0.309706057089997,97800, 327187.5, -229387.5,820, 26.9512195121951,221,598, 119.268292682927, 1480.48642533937, -383.591137123746, 3.85954283626153,4,13, 8.07239819004525, 2.55351170568562, -10287.5, 1.42635278731404, 1145.53440702782,0, 0.225,5
